LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,GRADRATEFIELD,EDU,PC,A,2005,9.864
AUS,GRADRATEFIELD,EDU,PC,A,2010,8.312
AUS,GRADRATEFIELD,EDU,PC,A,2011,7.697
AUS,GRADRATEFIELD,EDU,PC,A,2012,7.734
AUS,GRADRATEFIELD,EDU,PC,A,2013,7.684
AUS,GRADRATEFIELD,EDU,PC,A,2014,7.695
AUS,GRADRATEFIELD,EDU,PC,A,2015,8.608
AUS,GRADRATEFIELD,EDU,PC,A,2016,9.39
AUS,GRADRATEFIELD,EDU,PC,A,2017,9.997
AUS,GRADRATEFIELD,EDU,PC,A,2018,8.641
AUS,GRADRATEFIELD,EDU,PC,A,2019,8.365
AUS,GRADRATEFIELD,EDU,PC,A,2020,8.058
AUS,GRADRATEFIELD,HEALTH,PC,A,2005,13.6
AUS,GRADRATEFIELD,HEALTH,PC,A,2010,16.158
AUS,GRADRATEFIELD,HEALTH,PC,A,2011,16.966
AUS,GRADRATEFIELD,HEALTH,PC,A,2012,17.689
AUS,GRADRATEFIELD,HEALTH,PC,A,2013,17.733
AUS,GRADRATEFIELD,HEALTH,PC,A,2014,18.63
AUS,GRADRATEFIELD,HEALTH,PC,A,2015,19.306
AUS,GRADRATEFIELD,HEALTH,PC,A,2016,18.182
AUS,GRADRATEFIELD,HEALTH,PC,A,2017,18.264
AUS,GRADRATEFIELD,HEALTH,PC,A,2018,17.478
AUS,GRADRATEFIELD,HEALTH,PC,A,2019,18.326
AUS,GRADRATEFIELD,HEALTH,PC,A,2020,17.819
AUS,GRADRATEFIELD,ARTS,PC,A,2005,11.14
AUS,GRADRATEFIELD,ARTS,PC,A,2010,10.567
AUS,GRADRATEFIELD,ARTS,PC,A,2011,10.298
AUS,GRADRATEFIELD,ARTS,PC,A,2012,10.168
AUS,GRADRATEFIELD,ARTS,PC,A,2013,9.813
AUS,GRADRATEFIELD,ARTS,PC,A,2014,10.083
AUS,GRADRATEFIELD,ARTS,PC,A,2015,10.689
AUS,GRADRATEFIELD,ARTS,PC,A,2016,10.848
AUS,GRADRATEFIELD,ARTS,PC,A,2017,10.72
AUS,GRADRATEFIELD,ARTS,PC,A,2018,12.086
AUS,GRADRATEFIELD,ARTS,PC,A,2019,10.508
AUS,GRADRATEFIELD,ARTS,PC,A,2020,9.201
AUS,GRADRATEFIELD,BUSINESS,PC,A,2005,34.215
AUS,GRADRATEFIELD,BUSINESS,PC,A,2010,38.912
AUS,GRADRATEFIELD,BUSINESS,PC,A,2011,39.482
AUS,GRADRATEFIELD,BUSINESS,PC,A,2012,38.379
AUS,GRADRATEFIELD,BUSINESS,PC,A,2013,37.884
AUS,GRADRATEFIELD,BUSINESS,PC,A,2014,36.442
AUS,GRADRATEFIELD,BUSINESS,PC,A,2015,34.208
AUS,GRADRATEFIELD,BUSINESS,PC,A,2016,33.742
AUS,GRADRATEFIELD,BUSINESS,PC,A,2017,33.381
AUS,GRADRATEFIELD,BUSINESS,PC,A,2018,35.916
AUS,GRADRATEFIELD,BUSINESS,PC,A,2019,36.438
AUS,GRADRATEFIELD,BUSINESS,PC,A,2020,36.586
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2005,8.981
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2010,8.696
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2011,8.588
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2012,8.905
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2013,8.931
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2014,9.323
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2015,7.734
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2016,8.174
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2017,8.278
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2018,7.844
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2019,8.197
AUS,GRADRATEFIELD,ENGINEERING,PC,A,2020,8.549
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2005,6.393
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2010,5.507
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2011,5.496
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2012,5.69
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2013,6.382
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2014,6.167
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2015,7.39
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2016,7.123
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2017,7.037
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2018,5.999
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2019,5.538
AUS,GRADRATEFIELD,SOC_SCI,PC,A,2020,5.607
AUT,GRADRATEFIELD,EDU,PC,A,2010,8.391
AUT,GRADRATEFIELD,EDU,PC,A,2011,8.693
AUT,GRADRATEFIELD,EDU,PC,A,2012,10.246
AUT,GRADRATEFIELD,EDU,PC,A,2013,10.893
AUT,GRADRATEFIELD,EDU,PC,A,2014,11.466
AUT,GRADRATEFIELD,EDU,PC,A,2015,12.723
AUT,GRADRATEFIELD,EDU,PC,A,2016,12.246
AUT,GRADRATEFIELD,EDU,PC,A,2017,12.934
AUT,GRADRATEFIELD,EDU,PC,A,2018,11.599
AUT,GRADRATEFIELD,EDU,PC,A,2019,11.315
AUT,GRADRATEFIELD,EDU,PC,A,2020,11.924
AUT,GRADRATEFIELD,HEALTH,PC,A,2010,8.499
AUT,GRADRATEFIELD,HEALTH,PC,A,2011,6.844
AUT,GRADRATEFIELD,HEALTH,PC,A,2012,6.724
AUT,GRADRATEFIELD,HEALTH,PC,A,2013,6.652
AUT,GRADRATEFIELD,HEALTH,PC,A,2014,6.546
AUT,GRADRATEFIELD,HEALTH,PC,A,2015,6.658
AUT,GRADRATEFIELD,HEALTH,PC,A,2016,7.351
AUT,GRADRATEFIELD,HEALTH,PC,A,2017,7.484
AUT,GRADRATEFIELD,HEALTH,PC,A,2018,8.433
AUT,GRADRATEFIELD,HEALTH,PC,A,2019,8.722
AUT,GRADRATEFIELD,HEALTH,PC,A,2020,8.84
AUT,GRADRATEFIELD,ARTS,PC,A,2010,7.309
AUT,GRADRATEFIELD,ARTS,PC,A,2011,7.498
AUT,GRADRATEFIELD,ARTS,PC,A,2012,8.4
AUT,GRADRATEFIELD,ARTS,PC,A,2013,10.962
AUT,GRADRATEFIELD,ARTS,PC,A,2014,9.049
AUT,GRADRATEFIELD,ARTS,PC,A,2015,9.022
AUT,GRADRATEFIELD,ARTS,PC,A,2016,7.497
AUT,GRADRATEFIELD,ARTS,PC,A,2017,7.85
AUT,GRADRATEFIELD,ARTS,PC,A,2018,8.092
AUT,GRADRATEFIELD,ARTS,PC,A,2019,7.662
AUT,GRADRATEFIELD,ARTS,PC,A,2020,7.216
AUT,GRADRATEFIELD,BUSINESS,PC,A,2010,25.616
AUT,GRADRATEFIELD,BUSINESS,PC,A,2011,27.14
AUT,GRADRATEFIELD,BUSINESS,PC,A,2012,25.652
AUT,GRADRATEFIELD,BUSINESS,PC,A,2013,22.737
AUT,GRADRATEFIELD,BUSINESS,PC,A,2014,21.578
AUT,GRADRATEFIELD,BUSINESS,PC,A,2015,21.637
AUT,GRADRATEFIELD,BUSINESS,PC,A,2016,21.747
AUT,GRADRATEFIELD,BUSINESS,PC,A,2017,22.909
AUT,GRADRATEFIELD,BUSINESS,PC,A,2018,24.375
AUT,GRADRATEFIELD,BUSINESS,PC,A,2019,24.068
AUT,GRADRATEFIELD,BUSINESS,PC,A,2020,24.307
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2010,21.847
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2011,21.241
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2012,20.117
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2013,18.511
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2014,20.777
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2015,19.697
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2016,20.506
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2017,20.128
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2018,20.593
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2019,21.021
AUT,GRADRATEFIELD,ENGINEERING,PC,A,2020,20.671
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2010,7.451
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2011,8.038
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2012,9.196
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2013,10.103
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2014,10.046
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2015,10.155
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2016,11.348
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2017,9.409
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2018,7.257
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2019,7.523
AUT,GRADRATEFIELD,SOC_SCI,PC,A,2020,7.59
BEL,GRADRATEFIELD,EDU,PC,A,2010,9.985
BEL,GRADRATEFIELD,EDU,PC,A,2012,9.885
BEL,GRADRATEFIELD,EDU,PC,A,2013,9.753
BEL,GRADRATEFIELD,EDU,PC,A,2016,8.829
BEL,GRADRATEFIELD,EDU,PC,A,2017,8.707
BEL,GRADRATEFIELD,EDU,PC,A,2018,8.143
BEL,GRADRATEFIELD,EDU,PC,A,2019,8.074
BEL,GRADRATEFIELD,EDU,PC,A,2020,8.354
BEL,GRADRATEFIELD,HEALTH,PC,A,2010,22.6
BEL,GRADRATEFIELD,HEALTH,PC,A,2012,23.916
BEL,GRADRATEFIELD,HEALTH,PC,A,2013,24.623
BEL,GRADRATEFIELD,HEALTH,PC,A,2016,27.303
BEL,GRADRATEFIELD,HEALTH,PC,A,2017,28.18
BEL,GRADRATEFIELD,HEALTH,PC,A,2018,29.739
BEL,GRADRATEFIELD,HEALTH,PC,A,2019,27.808
BEL,GRADRATEFIELD,HEALTH,PC,A,2020,25.702
BEL,GRADRATEFIELD,ARTS,PC,A,2010,12.31
BEL,GRADRATEFIELD,ARTS,PC,A,2012,11.783
BEL,GRADRATEFIELD,ARTS,PC,A,2013,11.474
BEL,GRADRATEFIELD,ARTS,PC,A,2016,10.324
BEL,GRADRATEFIELD,ARTS,PC,A,2017,10.086
BEL,GRADRATEFIELD,ARTS,PC,A,2018,9.616
BEL,GRADRATEFIELD,ARTS,PC,A,2019,9.902
BEL,GRADRATEFIELD,ARTS,PC,A,2020,9.496
BEL,GRADRATEFIELD,BUSINESS,PC,A,2010,20.58
BEL,GRADRATEFIELD,BUSINESS,PC,A,2012,20.097
BEL,GRADRATEFIELD,BUSINESS,PC,A,2013,20.148
BEL,GRADRATEFIELD,BUSINESS,PC,A,2016,21.757
BEL,GRADRATEFIELD,BUSINESS,PC,A,2017,22.15
BEL,GRADRATEFIELD,BUSINESS,PC,A,2018,20.994
BEL,GRADRATEFIELD,BUSINESS,PC,A,2019,21.563
BEL,GRADRATEFIELD,BUSINESS,PC,A,2020,23.456
